Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
6100,17d4,"HIPD Central","T","HPD Central Dispatch (Island Wide Call Channel","Law Dispatch","Hawaii County Police"
6101,17d5,"HIPD SRT/VICE","TE","HPD SRT/Vice Ops","Law Tac","Hawaii County Police"
6102,17d6,"HIPD CID East","T","Criminal Invesitgation Division - East Channel","Law Tac","Hawaii County Police"
6103,17d7,"HIPD CID West","T","Criminal Investigations Division - West Channel","Law Tac","Hawaii County Police"
6104,17d8,"HIPD Hilo","T","District 1 Ops Channel (South Hilo)","Law Dispatch","Hawaii County Police"
6105,17d9,"HIPD Hamakua","T","District 2 & 3 Ops Channel (North Hilo and Hamakua)","Law Dispatch","Hawaii County Police"
6106,17da,"HIPD S. Kohala","T","District 4 Ops Channel (South Kohala)","Law Dispatch","Hawaii County Police"
6107,17db,"HIPD N. Kohala","T","District 5 Ops Channel (North Kohala)","Law Dispatch","Hawaii County Police"
6108,17dc,"HIPD Kona","T","District 6 Ops (North and South Kona)","Law Dispatch","Hawaii County Police"
6109,17dd,"HIPD Ka'u","T","District 7 Ops (Ka'u)","Law Dispatch","Hawaii County Police"
6110,17de,"HIPD Puna","T","District 8 Ops (Puna)","Law Dispatch","Hawaii County Police"
6111,17df,"HIPD E Field 1","T","HPD East Hawaii Field Ops Channel 1","Law Tac","Hawaii County Police"
6112,17e0,"HIPD W Field 1 ","T","HPD West Hawaii Field Ops Channel 1","Law Tac","Hawaii County Police"
6113,17e1,"HIPD E Field 2","T","HPD East Hawaii Field Ops Channel 2","Law Tac","Hawaii County Police"
6114,17e2,"HIPD W Field 2","T","HPD West Hawaii Field Ops Channel 2","Law Tac","Hawaii County Police"
6115,17e3,"HIPD E Field 3","T","HPD East Hawaii Field Ops Channel 3","Law Tac","Hawaii County Police"
6116,17e4,"HIPD W Field 3","T","HPD East Hawaii Field Ops Channel 3","Law Tac","Hawaii County Police"
