Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
101,065,"Tech 1","T","Radio Technicians","Public Works","Radio Technicians"
103,067,"Tech 2","T","Radio Technicians","Public Works","Radio Technicians"
2021,7e5,"INTEROP 1","TE","Interops 1","Interop","Interop"
2022,7e6,"INTEROP 2","TE","Interops 2","Interop","Interop"
2023,7e7,"INTEROP 3","TE","Interops 3","Interop","Interop"
2024,7e8,"INTEROP 4","TE","Interops 4","Interop","Interop"
2031,7ef,"INTEROP 1","Te","Interop 1 Typically USCG to OS and/or HFD","Interop","Interop"
2032,7f0,"INTEROP 2","Te","Interop 2 Typically FFD to HFD","Interop","Interop"
2033,7f1,"INTEROP 3","Te","Interop 3 Typically FHFD/EMS Command Post","Interop","Interop"
2034,7f2,"INTEROP 4","Te","Interop 4 Typically HFD or HPD to EMS","Interop","Interop"
2101,835,"DIST 1 ANNOUCE","TE","D1 Announcement Group (Backend radio communications)","Law Tac","Honolulu Police"
2102,836,"DIST 1 PATROL","TE","D1 Patrol","Law Dispatch","Honolulu Police"
2103,837,"DIST 1 CRIT RESP","TE","D1 Critical Response","Law Tac","Honolulu Police"
2104,838,"DIST 1 TACTICAL","TE","D1 Tactical","Law Tac","Honolulu Police"
2107,83b,"DIST 1 CRU","TE","D1 Critical Response Unit","Law Tac","Honolulu Police"
2108,83c,"DIST 1 EVENTS","TE","D1 Events","Law Tac","Honolulu Police"
2109,83d,"DIST 1 ALERT","Te","D1 Alert","Law Dispatch","Honolulu Police"
2112,840,"DIST 2 ANNOUNCE","TE","D2 Announcement Group (Backend radio communications)","Law Tac","Honolulu Police"
2113,841,"DIST 2 PATROL","TE","D2 Patrol","Law Dispatch","Honolulu Police"
2114,842,"DIST 2 CRIT RESP","TE","D2 Critical Response Unit","Law Tac","Honolulu Police"
2115,843,"DIST 2 TACTICAL ","TE","D2 Tactical","Law Tac","Honolulu Police"
2118,846,"DIST 2 CRU","TE","D2 CRU","Law Tac","Honolulu Police"
2119,847,"DIST 2 EVENTS","TE","D2 Events","Law Tac","Honolulu Police"
2120,848,"DIST 2 ALERT","Te","D2 Alert","Law Dispatch","Honolulu Police"
2123,84b,"DIST 3 ANNOUNCE","TE","D3 Announcement Group (Backend radio communications)","Law Tac","Honolulu Police"
2124,84c,"DIST 3 PATROL","TE","D3 Patrol","Law Dispatch","Honolulu Police"
2125,84d,"DIST 3 CRIT RESP","TE","D3 Critical Response Unit","Law Tac","Honolulu Police"
2126,84e,"DIST 3 TACTICAL","TE","D3 Tactical","Law Tac","Honolulu Police"
2129,851,"DIST 3 CRU","TE","D3 CRU","Law Tac","Honolulu Police"
2130,852,"DIST 3 EVENTS","TE","D3 Events","Law Tac","Honolulu Police"
2131,853,"DIST 3 ALERT","Te","D3 Alert","Law Dispatch","Honolulu Police"
2134,856,"DIST 4 ANNOUNCE","TE","D4 Announcement Group (Backend radio communications)","Law Tac","Honolulu Police"
2135,857,"DIST 4 PATROL","TE","D4 Patrol","Law Dispatch","Honolulu Police"
2136,858,"DIST 4 CRIT RESP","TE","D4 Critical Response Unit","Law Tac","Honolulu Police"
2137,859,"DIST 4 TACTICAL","TE","D4 Tactical","Law Tac","Honolulu Police"
2140,85c,"DIST 4 CRU","TE","D4 Critical Response Unit","Law Tac","Honolulu Police"
2141,85d,"DIST 4 EVENTS","TE","D4 Events","Law Tac","Honolulu Police"
2142,85e,"DIST 4 ALERT","Te","D4 Alert","Law Dispatch","Honolulu Police"
2145,861,"DIST 5 ANNOUNCE","TE","D5 Announcement Group (Backend radio communications)","Law Tac","Honolulu Police"
2146,862,"DIST 5 PATROL","TE","D5 Patrol","Law Dispatch","Honolulu Police"
2147,863,"DIST 5 CRIT RESP","TE","D5 Critical Response Unit","Law Tac","Honolulu Police"
2148,864,"DIST 5 TACTICAL","TE","D5 Tactical","Law Tac","Honolulu Police"
2151,867,"DIST 5 CRU","TE","D5 CRU","Law Tac","Honolulu Police"
2152,868,"DIST 5 EVENTS","TE","D5 Events","Law Tac","Honolulu Police"
2153,869,"DIST 5 ALERT","Te","D5 Alert","Law Dispatch","Honolulu Police"
2156,86c,"DIST 6 ANNOUNCE","TE","D6 Announcement Group (Backend radio communications)","Law Tac","Honolulu Police"
2157,86d,"DIST 6 PATROL","TE","D6 Patrol","Law Dispatch","Honolulu Police"
2158,86e,"DIST 6 CRIT RESP","TE","D6 Critical Response Unit","Law Tac","Honolulu Police"
2159,86f,"DIST 6 TACTICAL","TE","D6 Tactical","Law Tac","Honolulu Police"
2162,872,"DIST 6 CRU","TE","D6 CRU","Law Tac","Honolulu Police"
2163,873,"DIST 6 EVENTS","TE","D6 Events","Law Tac","Honolulu Police"
2164,874,"DIST 6 ALERT","Te","D6 Alert","Law Dispatch","Honolulu Police"
2167,877,"DIST 7 ANNOUNCE","TE","D7 Announcement Group (Backend radio communications)","Law Tac","Honolulu Police"
2168,878,"DIST 7 PATROL","TE","D7 Patrol","Law Dispatch","Honolulu Police"
2169,879,"DIST 7 CRIT RESP","TE","D7 Critical Response Unit","Law Tac","Honolulu Police"
2170,87a,"DIST 7 TACTICAL","TE","D7 Tactical","Law Tac","Honolulu Police"
2173,87d,"DIST 7 CRU","TE","D7 CRU","Law Tac","Honolulu Police"
2174,87e,"DIST 7 EVENTS","TE","D7 Events","Law Tac","Honolulu Police"
2175,87f,"DIST 7 ALERT","Te","D7 Alert","Law Dispatch","Honolulu Police"
2178,882,"DIST 8 ANNOUNCE","TE","D8 Announcement Group (Backend radio communications)","Law Tac","Honolulu Police"
2179,883,"DIST 8 PATROL","TE","D8 Patrol","Law Dispatch","Honolulu Police"
2180,884,"DIST 8 CRIT RESP","TE","D8 Critical Response Unit","Law Tac","Honolulu Police"
2181,885,"DIST 8 TACTICAL","TE","D8 Tactical","Law Tac","Honolulu Police"
2184,888,"DIST 8 CRU","TE","D8 CRU","Law Tac","Honolulu Police"
2185,889,"DIST 8 EVENTS","TE","D8 Events","Law Tac","Honolulu Police"
2186,88a,"DIST 8 ALERT","Te","D8 Alert","Law Dispatch","Honolulu Police"
